機構名稱,機構代碼,執行長,聯絡人,電話,傳真,網址,電子郵件,地址,創辦人,成立日期,許可機關,機構屬性,成立主旨,工作重點,服務區域,服務性別,服務年齡,服務項目
財團法人伊甸社會福利基金會附設台東嗎哪食堂身心障礙者庇護工場,7442,林文賓,李曄盈,089-346610,089-342896,無,eden4351@eden.org.tw,,劉俠,2013/12/10,臺東縣政府,身心障礙福利,提供具工作意願但工作能力不足之身心障礙者庇護性就業安置，透過個別化、專業化、多元化之服務目標，落實身心障礙者職涯發展與提昇生活品質。,1.建立身心障礙者職業重建系統中可預期之職業重建目標，增強庇護性就業者工作動機、生產力、工作態度及技巧。2.透過產品研發、市場行銷、在地深化，提升庇護產品市場競爭性且可自給自足、永續經營。,台東縣,不限,不限(0~0),庇護工廠
財團法人伊甸社會福利基金會附設阿萬師清潔工作隊,7441,林文賓,張藝薰,2239-2826,2239-2827,無,dep372@eden.org.tw,116台北市文山區萬美街一段55號3樓之7,劉俠,2008/03/17,北市勞動處,身心障礙福利,我們主要以承接公家機關、學校清潔服務標案，提供庇護性就業者清潔工作經驗，依不同的障別與程度，以標準化清潔流程訓練，搭配適合的輔具，訓練庇護性就業者清潔服務的技能，藉由工作經驗的累積，進而養成正確的工作態度與社會適應能力。每年依身心障礙者的特性，擬定年度就業服務計畫，由就服員每月評量後依狀況修正訓練目標，讓庇護性就業者能夠穩定就業，期待藉由本隊的輔導訓練，維持或提昇技能。,庇護性就業清潔工作,"新北市, 台北市",不限,不限(0~0),庇護工廠
財團法人臺北市鼎愛慈善事業基金會,7440,陳慧娟,鄭伊伶,27495588300,27495566,https://www.facebook.com/%E9%BC%8E%E6%84%9B%E5%9F%BA%E9%87%91%E6%9C%83-171335258,apex.charity@gmail.com,,劉致顯,2017/12/07,臺北市政府社會局,綜合性服務,秉持著「取之於社會，回饋於社會」的理念出發，期達成以慈善資助社會弱勢，從慈心與教育扎根、以人為本，並追求永續經營為宗旨。逐步拓展與建構永續經營以及資源分享的公益平台，以資助社會弱勢，並以促進健康、和諧的社會為目標。鼎愛基金會董事長劉致顯先生，原任職於海外知名藥品研發與生技公司，應台灣積極發展生物科技產業受行政院海外延攬專家歸國經營事業，在事業有成之餘，感念「取之於社會，回饋於社會」希望自己在行有餘力之時，能將這份力量持續延伸與傳遞，因此成立慈善基金會，建立出永續經營以及資源分享的公益平台。基金會目前主要照顧對象先鎖定為“弱勢家庭孩童”以及“孤苦無依的老人”，並以透過與經驗豐富的慈善單位接洽合作，從中更深層學習社會公益的真諦，期許能為達成溫馨和諧的社會盡一份心力！,急難救助申請審核、弱勢家庭訪視與協助、關懷偏鄉地區家庭及學校、獨居老人關懷送愛心物資、關懷育幼院物資需求,全國性,不限,不限(0~0),"急難救助, 生活扶助, 志願服務"
台灣身心障礙藝術發展協會,7439,蘇均衡,蘇均衡,04-23760080,04-23761318,http://www.lumin-art.org.tw/,art0080@gmail.com,403台中市西區台中市西區美村路一段492號 ,陳翠華,2009/12/27,內政部,文化藝術,台灣身心障礙藝術協會是一個專為特殊族群在藝術創作上建造的舞台，讓世人可以透過作品了解他們傑出的天賦和努力的成果，並以「光的世界沒有黑暗」的概念，成立一個實體展演的空間『光之藝廊」，我們期待在這個空間能為身心障礙的朋友與世人發生共鳴，並為社會愛和和諧。,1.身心障礙藝術創作育成 2.身心障礙藝術經紀媒合 3.文創展演行銷、公益活動合作 4.藝術教育暨生命教育推廣 5.推動國內身心障礙藝術政策的發展,全國性,不限,限(12~99),其他
台灣法學研究交流協會,7438,胡駿,孫永鳳,02-23639882,02-23699883,無,sandy601112@yahoo.com.tw,,彭培業,2000/05/01,內政部,綜合性服務,(一)推動法學、法制與司法制度之研究，提升法律功能。(二)宣導法律治理，提倡全民守法、崇法、護法信念，共同打擊 犯罪。(三)宣揚法律公義與扶助之精神，促進國際法學研究與發展。(四)促進社會福祉、人身安全、法律、經貿投資、勞動保障及兩岸法制等公共事務之研究。(五)結合國際法律學術機構與研究團體，積極辦理相關法學專業學術交流活動，提升國際法律學術研究水準。(六)共創祥和進步的社會與發展國際合作的環境。,"會務行政工作,熟電腦操作,網頁管理等",全國性,不限,不限(0~0),"教學研究, 法律諮詢, 社教宣導, 政策分析, 國際交流"
2030台灣無貧困推進協會,7437,周憶如,周憶如,07-2315200,17-2315300,http://www.facebook.com/2030ATEPT,2030atept@gmail.com,801高雄市前金區自強一路22號10樓之一,吳佩玲,2015/09/05,內政部,綜合性服務,"「2030台灣無貧困推進協會」（以下簡稱本會）由一群關心台灣貧困現況的律師、教授、社福、心理衛生醫療及傳媒等領域之實務作者於民國104年9月5日成立。以看見台灣社會貧困議題為核心,辦理以促進教育、文化、藝術活動、紀錄、培力……等活動，挖掘潛藏於社會中的貧困，俾利喚起社會關注，瞭解社台灣社會真實的貧困問題，進而改善貧困。","以看見台灣社會貧困議題為核心,辦理以促進教育、文化、藝術活動、紀錄、培力……等活動，挖掘潛藏於社會中的貧困，俾利喚起社會關注，瞭解社台灣社會真實的貧困問題，進而改善貧困。",全國性,不限,不限(0~0),"關懷專線, 教學研究, 社區服務, 社教宣導, 社福資訊, 權益倡導, 政策分析, 國際交流"
新北巿產職業聯合總工會,7436,陳吉雄理事長,洪詠婕,02-2976551712,02-29765502,無,ntctu1354@gmail.com,,林棋銘理事長,2001/07/28,新北巿政府,人權和平,以團結各產、職業工會，共同保障會員權益、改善勞動條件、提高生活品質為宗旨。,本會之任務如下,"全國性, 新北市",不限,不限(0~0),"個案管理, 親職教育, 關懷專線, 生活扶助, 獎助學金, 職能治療, 性向測驗, 生涯規劃, 職能評估, 職業訓練, 職訓補助, 就業資訊, 就業輔導, 教學研究, 專業訓練, 權益倡導, 國際交流"
社團法人台灣非視覺運動文化發展協會,7435,邱文生,賴智傑  ,0933896523,02-23367823,https://www.facebook.com/groups/185137638275634/,taiwanbba@gmail.com,100台北市中正區羅斯福路3段76號8樓之1  ,賴智傑  ,2012/07/05,內政部,身心障礙福利,為促使社會深入瞭解視障者在各種職業、生活與運動中，綜合運用視覺以外的相關能力（聽覺、觸覺、嗅覺、味覺、本體覺、空間覺、障礙覺）發展出獨特的非視覺文化，以訓練視覺障礙者運動與生活的專門技術，在協助視障者提昇適應社會能力外，讓社會大眾透過活動參與使用非視覺能力操作實務，理解非視覺能力如何在影像環境達成任務與目標，進而改變人們對視障者操作能力的觀感，從而具備接納視障者生活能力與職業能力的友善態度，以積極正面行動支持視障者，增進企業提供多元職場接納視障者，促進社會環境自然支持視障者生活的宗旨。,(一)	提供身心障礙者一個安全、遼闊的戶外休閒運動空間與機會，進而促進身障者出外與人互動甚至一同運動的意願，使其身、心、靈獲得平衡及健康。(二)	藉由盲人棒球中明、盲互助的特性，讓視障者更能打破侷限，走進我們的社會，也讓普羅大眾們，藉由本次活動，更能了解視障者可一同運動、一同休閒的常態，以及需協助的特殊性，增進理解與和諧。(三)	藉由不同的形式，讓大眾了解視障者愛好棒球活動的熱情，也藉此讓大眾更能了解、支持盲人棒球這個特殊運動。(四)	藉由本次比賽，介紹給社會大眾，從美國引進，由有聲棒球、特製柱形有聲壘包、特殊規則所建構的盲人棒球運動。,全國性,不限,不限(0~0),"休閒娛樂, 國際交流"
社團法人屏東縣關懷弱勢福利促進協會,7434,楊文永,曾珠敏,08-8356800,08-8356800,https://www.facebook.com/ptfuli6800,fuli6800@gmail.com,928屏東縣東港鎮東港鎮興東路412號3F ,楊文永,2018/06/07,屏東縣政府,身心障礙福利,【打開心窗、看見陽光】屏東縣關懷弱勢福利促進協會，以服務身心障礙者為己任，目前供服務精神疾病人數為60人，其中約有九成為清寒低收入戶身心障礙族群，運用社會福利團體資源連結提供交通接送及午餐供應。,【打開心窗、看見陽光】屏東縣關懷弱勢福利促進協會，以服務身心障礙者為己任，目前供服務人數為80人，其中約有九成為清寒低收入戶身心障礙族群，運用社會福利團體資源連結提供交通接送及午餐供應。,屏東縣,不限,不限(0~0),"個案輔導,團體輔導,日間照顧,緊急庇護,喘息服務,交通接送,急難救助,生活扶助,復建服務,職能治療,職業訓練,就業輔導,聯合勸募,社福資訊"
高雄市媽媽去哪兒關懷協會,7433,柯瑋婷,柯瑋婷,0919101607,無,www.khcmamago.org.tw/,khcmamago@gmail.com,,沈賢瑞,2018/12/23,高雄市社會局,家庭福利,本會以家庭關愛為出發點，倡導家庭成員相互關懷，增進孩子與父母之間的連繫，引領下一代在心靈品格或技能興趣上健全發展為宗旨。,一、辦理親職教育相關活動、講座，兒童、青年品格成長營隊、親子共遊、共學等相關活動。二、本會推展相關活動，落實偏鄉及弱勢群體之服務與關懷。三、透過本會活動及計畫，推廣國民之技能培養、領袖課程及個人潛能相關教育課程、活動及講座等相關活動。四、推廣並促進不同民族及國際間之教育文化交流，提升國民文化水準。五、推展及培養兒童與青年之興趣及潛能，為社會貢獻 其才能及服務熱忱，促使社會繁榮安定。六、協助政府舉辦公益、救助社會，發展社會福利。七、以服務人群，創造社會安定為共同理想，為國家社會盡一份心力。,高雄市,不限,不限(0~0),"團體輔導, 親職教育, 日間照顧, 課後照顧, 休閒娛樂, 營隊活動, 生涯規劃, 職業訓練, 教學研究, 社工實習, 志願服務, 社區服務, 社教宣導, 專業訓練, 國際交流"
社團法人台灣怡心寶貝社群協會,7432,潘怡璇,潘怡璇,076427770,076429666,https://www.facebook.com/99joybabycommunity/,joybabycommunity@gmail.com,832高雄市林園區林內里林內路248巷16號,潘怡璇,2018/10/25,內政部,兒童青少年福利,本會為依法設立、非以營利為目的之社會團體，以關懷弱勢家庭兒童、提供適切幫助與服務、以增進知能及維護權益，並協助政府推行政令為宗旨。,守護任務主要項目如下,全國性,不限,不限(7~16),"個案輔導, 個案管理, 課後照顧, 兒童保護, 家務助理, 家庭輔導, 生活扶助, 社區服務, 社福資訊, 其他"
南港區健康服務中心,7431,林莉玲,趙千慧,278252206952,27884021,無,sugar905316@health.gov.tw,115台北市南港區南港路一段360號7樓,衛生局,1946/01/01,衛生局,心理衛生,1願景:成為臺北市最信賴的安全社區2核心價值:正直誠信 開放共享 創新卓越 團隊合作 關懷當責3使命:促進區民健康安全,長照.失智.衰弱活動辦理及宣導.長期照護關懷志工招募,台北市,不限,不限(0~0),"心理輔導, 個案輔導, 個案管理, 團體輔導, 家族治療, 關懷專線, 志願服務, 社區服務, 社福資訊"
財團法人臺南市私立天主教伯利恆社會福利基金會,7430,甘惠忠,張麗雲,06-7830456125,06-7830839,http://www.bethlehem.org.tw/big5/01-203.asp,bethlehemdongshan@gmail.com,,甘惠忠,1997/03/24,台南縣政府,兒童青少年福利,伯利恆的誕生約二千年前，一個飄雪的銀色夜晚，耶穌誕生在伯利恆。祂降生在馬槽中，沒有親朋好友的祝賀，更沒有世人對祂應有的禮遇...只有星星和天使遙遠的祝福。　　多年後，天主教瑪利諾會的甘惠忠神父看到許多嬰兒和小耶穌一樣，他們的降臨沒有大眾的祝福和歡迎，只因為他們在生理上有或多或少的缺憾。    為了不讓家長孤獨、無助地面對因孩子所帶來的無奈和衝擊，甘神父在85年7月於台南縣學甲鎮籌設伯利恆文教基金會，專為台南縣境內六歲以下，有發展遲緩的嬰幼兒及其家人服務，陪家長帶領孩子在人生的起跑點上，紮實地跨出每個腳步。　  靠著社會大眾的幫忙，於86年3月底，在慶祝耶穌復活的歡樂歌聲中，伯利恆誕生了。甘神父希望以愛推動伯利恆的服務，為發展遲緩嬰幼兒及其家人帶來力量和希望，同時促進社會大眾彼此認同與接納。,1.早期療育服務,台南市,不限,不限(0~6),"個案輔導, 個案管理, 團體輔導, 親職教育, 早期療育, 兒童托育, 日間照顧, 在宅服務, 喘息服務, 社區服務"
財團法人台灣兒童暨家庭扶助基金會台東分事務所,7429,何素秋,戴廷亦,(089)323804,(089)342086,無,tt@ccf.org.tw,"950台東縣臺東市正氣北路255巷74號 ",卡維特.克拉克博士,1954/12/10,衛福部社會及家庭署,兒童青少年福利,以「及時的扶助、溫暖的關懷、基督的愛心、社工的專業」之服務精神為兒童謀福利。,貧童認養、家庭寄養、兒童少年保護、心理創傷復原、希望宿舍,台東縣,不限,不限(0~0),"心理輔導,個案輔導,個案管理,寄養服務,兒童保護,急難救助,生活扶助,獎助學金"
台中市大甲親子館,7428,,,04-26869399,,無,,,,,,台中市,,,,不限,不限(0~0),
西園醫療社團法人西園醫院,7427,林澤安,社工,02-2307-6968,02-2339-0562,http://www.westgarden.com.tw/,2139@westgarden.com.tw,,林澤安,2018/06/01,臺北市政府衛生局,健康醫療,創新、專業、熱忱、服務珍惜生命、預防保健、創新醫療、享受人生,執行社區醫療的模範醫院開創社區預防醫學的標竿,台北市,不限,不限(0~0),"心理輔導, 個案輔導, 個案管理, 心理治療, 鑑別診斷, 兒童保護, 關懷專線, 婦女救援, 自殺防治, 急難救助, 醫療補助, 喪葬補助, 復健服務, 物理治療, 職能治療, 志願服務, 醫療諮詢, 社區服務, 社福資訊"
台灣生態工法發展基金會,7426,--,陳映婷,02-23222193,無,www.facebook.com/eef.org.tw,service@eef.org.tw,,賀陳旦,2007/06/07,行政院農委會水保局,環境保護,以研究及推廣生態工法為設立目的,研究及推廣生態工法,全國性,不限,不限(0~0),"鑑別診斷, 教學研究, 專業訓練, 權益倡導, 政策分析, 國際交流, 其他"
頑書趣工作室（劇團）,7425,黃美華,陳虹汶,0911-991546,無,www.facebook.com/naughtplayandplay/,naughtyplaybc@gmail.com,220新北市板橋區國光路76號2樓,陳虹汶,2016/03/14,新北市政府文化局,文化藝術,頑書趣工作室本著熱愛表演、注重生命教育及環境議題的心於2013年成立。我們相信，每個人都是本獨特的書，每本書都有其值得分享的故事。找到故事中迷人有趣的部份，加上天馬行空的頑（玩）樂方式呈現，讓每個故事開出屬於自己的生命之花，是頑書趣對自己最深的期盼與願景。展開書本的翅膀，在美麗的文字裡翱翔~打開童趣的頑心，一同寫下屬於自己的頑。書。趣。,頑書空間為頑書趣工作室（劇團）於每季說故事、親子活動、二手市集之場地。志工主要服務為櫃台服務、場地清潔，並依志工興趣及意願，不定期由志工帶領親子/幼兒活動。平日及其他假日活動也歡迎志工支援活動執行。,新北市,不限,不限(0~0),"遊戲治療, 親職教育, 休閒娛樂, 營隊活動, 其他"
米迦勒社會福利協會,7424,時令瑤,王姿琦,(07)372-1973,(07)372-3134,無,micha20141118@gmail.com,,陳榮進,2014/11/18,內政部,綜合性服務,以基督謙卑心懷，協助弱勢對象社會心理適應，提昇生活品質及建立友善社會環境。,弱勢家庭關懷訪視、街友服務、微型創業服務、弱勢青少年就業服務、社工實習、志願服務,全國性,不限,不限(0~0),"休閒娛樂, 生涯規劃, 職能評估, 職業訓練, 就業資訊, 就業輔導, 社工實習, 志願服務, 社區服務, 社教宣導"
社團法人臺中市大大人長期照護關懷協會,7423,林總幹事,方督導,04-26275776,04-26275639,https://www.dadazen.com.tw/Index,comcare.dadazen@gmail.com,,洪理事長,2017/10/20,臺中市政府,老人福利,●我們的宗旨:延緩老化、自立支援、友善樂齡●我們的核心價值:1.感恩與尊重,一、居家服務中心(服務失能長輩或有居家服務需求的長輩)•有溫度的服務，最溫暖的關懷照顧•從”心”出發，以人為本的全人照護•護理、復健指導，全能的專業服務員二、奉茶館(長照諮詢、長照資源整合、服務照顧者喘息、健康與亞健康長輩)遠程規劃(1)提供紓壓療育的居家照顧、喘息服務(2)規劃專業的居家護理、在宅醫療等服務(3)和諧身心靈的正念照護與藝術照顧課程(4)成為社區長照人力的中繼加油站、家庭照顧者喘息站(5)促進身心健康的預防延緩失能的健康促進課程(6)交流生命智慧的爺奶喝茶讀書會多元課程(1)延緩失智失能健康促進課程(2)正念減壓照護課程(3)藝術照顧課程(4)美感樂活課程(5)音樂照顧課程(6)搖滾爺奶繪本共讀會(7)志工培訓三、社區照顧培力中心(社區發展工作、社區照顧資源整合、志工教育、培力老人服務據點),台中市,不限,不限(0~0),"社福資訊, 其他"
國立政治大學教育部實驗教育推動中心,7422,徐永康,陳寧,02-2939309166010,02-29387674,無,audre@teec.nccu.edu.tw,,計畫主持人 鄭同僚,2015/03/01,中華民國教育部國教署,教育與科學,實驗教育推動中心是國立政治大學教育學系受教育部委託而成立的研究中心，成立宗旨在於，依據「實驗教育三法」（學校型態實驗教育實施條例、非學校型態實驗教育實施條例、公立國民小學及國民中學委託私人辦理條例），推動實驗教育的發展，以促進臺灣的教育改革與創新。政大實驗教育推動中心（簡稱,實驗教育之陪伴擴展、培力增能、推廣交流、研究分析,全國性,不限,不限(0~0),"教學研究, 政策分析, 國際交流"
台灣社區家庭服務中心,7421,黃世瑋,林杏霞,04-24865363,04-24839700,無,newtatun2486@gmail.com,,黃智鴻,2001/08/20,內政部,綜合性服務,「關懷社區家庭、促進祥和、提昇文化」,弱勢、街友關懷服務與培力；婦女培力服務、新住民及其家庭服務；長照相關業務；課輔；社區工作等,全國性,不限,不限(0~0),"心理輔導, 個案輔導, 個案管理, 心理治療, 遊戲治療, 團體輔導, 家族治療, 親職教育, 日間照顧, 課後照顧, 緊急庇護, 中途之家, 家務助理, 在宅服務, 暫托服務, 關懷專線, 喘息服務, 臨時住宿, 交通接送, 送餐服務, 休閒娛樂, 聯誼活動, 婚姻協談, 家庭輔導, 婦女救援, 自殺防治, 戒毒戒癮, 犯罪矯治, 急難救助, 生活扶助, 生涯規劃, 就業資訊, 就業輔導, 社工實習, 志願服務, 法律諮詢, 社區服務, 社教宣導, 專業訓練, 社福資訊, 權益倡導, 國際交流, 其他"
中國醫藥大學北港附設醫院,7420,林榮生,周佳霓,05-78379011101,05-7836439,無,t3903@mail.bh.cmu.edu.tw,651雲林縣北港鎮新德路123號,陳立夫,1985/01/01,衛生福利部醫事司,健康醫療,本院宗旨為促進雲嘉地區民眾的健康基本人權，期結合中國醫藥大學暨醫療體系人才及資源，提供全人照顧、人文關懷、新穎、可近及可靠的醫學中心等級的的醫療。另外更針對雲嘉地區常見疾病，推出整合式照顧服務，戮力發展「微創手術、無痛醫院、癌症醫療及中西醫合療」等特色，並積極與社區接軌，建立完善的老人醫療服務，守護雲林沿海地區民眾的健康。,1.提供以病人為中心的醫療服務2.發揮大學醫院教學、研究功能3.推廣中醫藥養生保健的特色,"全國性, 雲林縣, 嘉義市, 嘉義縣",不限,不限(0~0),"在宅服務, 居家護理, 安寧照顧, 喘息服務, 戒毒戒癮, 急難救助, 醫療補助, 復健服務, 物理治療, 職能治療, 語言治療, 社工實習, 志願服務, 醫療諮詢, 營養諮詢, 專業訓練, 社福資訊"
財團法人高雄市私立希恩之家,7419,周林錦燕,李明美,07-3560463,07-3560405,www.hishands.org.tw,mei@xien.org,815高雄市大社區學府路210巷16號,康翠娜,2014/10/28,高雄市政府社會局,兒童青少年福利,以上帝的愛關懷並照顧危機懷孕婦女以及危機處遇的孩童。,服務對象,全國性,不限,限(0~2),"兒童保護, 緊急庇護"
社團法人中華愛無界全人關懷協會,7418,徐國誌,徐國誌,0226521275601,0226521441,無,davenhsu@sowers.org.tw,115台北市南港區忠孝東路六段465號B1,孟繁毅,2016/02/01,內政部,綜合性服務,發揮網路連結的力量，結合社區、教會、福音機構、學校、社會團體等等的資源，成立互動網站以促進正確的人生觀，和諧的婚姻及親子關係，活潑的職場，引導青年身心健康，達到預防危機發生，並協助回歸主流社會。期盼社會上需要幫助的人，生命得以蛻變，故成立「中華愛無界全人關懷協會」。,網路關還、建立網路關懷據點，結合社區、教會、福音機構、學校、社會團體等等的資源，成立互動網站以促進正確的人生觀，和諧的婚姻及親子關係，活潑的職場，引導青年身心健康，達到預防危機發生，並協助回歸主流社會。,全國性,不限,不限(0~0),"個案輔導, 團體輔導, 教學研究, 社工實習, 社區服務, 社福資訊, 其他"
高雄市茄萣舢筏協會,7417,蘇水龍,毛小驊,076903072,076900499,無,samfar543@gmail.com,852高雄市茄萣區福德路88號,林文欽,1995/11/20,高雄市政府社會局,環境保護,協會位於二仁溪的出海口，一旁為早期高雄縣第一個建置的漁港-白砂崙漁港。民國五六十年代台灣經濟發展的時期，正是二仁溪下游河岸廢五金熔煉業污染的極盛時期，溪水有時是黑色、橘色、各種顏色，甚至是濃稠的膠狀感，那時二仁溪有台灣黑龍江之稱，同時也是民國七十五年爆發綠牡蠣事件的所在位置，此時期讓漁民省下需定期清理舢舨船底的工作，因為有毒的溪水讓船底的生物無法生存附著。一群飽受二仁溪汙染之苦的漁民於民國84年成立舢筏協會，從河川巡守開始推行身體力行的環保運動、參與政府各部門的整治會議並和大專院校合作進行研究，使二仁溪下游河岸上的有毒廢棄物離開這個地方，而後協會認養了清除有毒廢棄物後的空地，以人力一步一腳印地營造感潮的白砂崙濕地，穩定的濕地環境中彈塗魚和招潮蟹隨著潮水來到這裡，可以說是彈塗魚體型最大、密度最高和最容易觀察的濕地；現在二仁溪下游有高雄第一艘合法經營的兼營娛樂漁船在溪中航行，協會規劃遊程活動並帶領大家發現二仁溪的驚人轉變。,河川巡守、生態教育體驗推廣,"台南市, 高雄市",不限,不限(0~0),"休閒娛樂, 營隊活動"
社團法人臺中市好民文化行動協會,7416,暫缺,林冠億,04-22231523,無,ccat.tw,service@ccat.tw,403台中市西區民權路53巷10號,楊宗澧,2016/03/20,臺中市政府社會局,人權和平,以深根在地文化與市民社會為宗旨,1. 建立共好的文化社會，推展在地的文化思想與教育。 2. 建立共享的經濟生活，推動以合作替代競爭的社區經濟模式。 3. 建立有共識的市民政治，以慎思明辨的精神審議在地政治。,台中市,不限,不限(0~0),"營隊活動,社區服務,權益倡導,政策分析,國際交流"
社團法人彰化縣盲人福利協進會,7415,蔣昌華,張麗玉,04-8836038,04-8836153,http://www.eyes6038.artcom.tw/ap/index.aspx,eyes6030@gmail.com,522彰化縣田尾鄉北曾村福德巷343號,謝潤庭,1958/12/31,彰化縣政府,身心障礙福利,本會以研究視障者福利問題，並發動社會力量興辦視障者福利事業為宗旨。,一、視障者相關課程與活動辦理。二、視障者福利與權益諮詢。三、個案服務。,彰化縣,不限,不限(18~100),"休閒娛樂, 社福資訊, 其他"
台南市惠安康復之家,7414,詹淑惠,詹淑惠,06-2572553,06-2572553,無,happy599go@gmail.com,709台南市安南區北汕尾三路580號,詹淑惠,2018/10/15,台南市衛生局,健康醫療,我們在社區中建構一個以生活模式為基礎的復歸環境，由專業團隊評估其功能及需求，提供個別化復建計劃，使其能夠有尊嚴、有品質的回歸家庭及社區,＊日常生活功能的輔導及養成＊藉助衛生教育課程，增加治療配度，維持病情穩定＊透過社交技巧訓練，改善人際互動關係 ＊協助休閒生活安排，養成積極、充實的生活態度，加強社會參與 ＊提供醫療諮詢服務及個別化的心理輔導，強化壓力調適機轉＊工作訓練與就業輔導的服務,台南市,不限,不限(0~0),"心理輔導,個案管理,心理治療,日間照顧,收容收養,中途之家,臨時住宿,醫療補助,生活扶助"
社團法人臺南市灣港照顧關懷協會,7413,王寶來,邱怡貞,06-5938605,5938414,無,anding5938605@gmail.com,,黃瑞雲,2018/03/25,台南市政府,老人福利,致力於服務身心障礙或日常生活需協助照顧，長者為主並以提升老年福祉、健康促進照顧關懷長者為宗旨。,協助照顧長者及身障者之生活起居、活動帶領提升生活品質、表單填寫,台南市,不限,不限(0~0),日間照顧
財團法人中華社會福利基金會,7412,張維華,陳韵如,0422926809,022926847,無,gfred.r286@gmail.com,407台中市西屯區文心路三段237號1樓,張維華,1984/02/16,內政部,老人福利,以舉辦及捐助社會福利事業為宗旨,1.有關社會福利支出2.有關身心障礙人士福利之促進3.有關急難貧困人士之救濟4.有關社會福利含長期照顧服務業務之獎助及辦理,台中市,不限,不限(0~0),"個案管理, 在宅服務, 喘息服務, 社區服務"
誠獻教育協會,7411,朱凌志,朱凌志,0933718625,02-25641874,http://eldataiwan.org/,alex@eldataiwan.org,,朱凌志,2018/06/24,內政部,教育與科學,推廣教育、公益社服理念和活動，發揮領袖成就自我和貢獻他人的精神，進而創造豐盛、關懷和健康的社會,一、關注兒童、青少年和成年人教育議題並投入相關議題公益活動。二、提供會員交流與成長園地。定期舉辦會員聯誼和各種活動，提供學習成長和開拓視野的機會。三、籌措整合會員和社會各界資源，協助舉辦公益活動。四、建立與其他社會福利團體之聯繫與交流，並參與其活動。,"全球性, 全國性",不限,不限(0~0),"親職教育, 特殊教育, 教學研究, 聯合勸募, 社福資訊, 海外救援, 國際交流, 其他"
財團法人宏觀文教基金會附設臺中市私立三光非營利幼兒園,7410,高郡韓(園長),高郡韓(園長),0422372216,0422372210,無,foundation8kids@gmail.com,406台中市北屯區三光一街77號,李舜如,2015/12/15,臺中市政府教育局,教育與科學,台中市首家非營利幼兒園，目的在協助家庭育兒及家長安心就業、促進幼兒健康成長、推廣優質平價及弱勢優先的教保服務。,1.特殊教育工作2.社會工作(需要協助生)3.其他行政交辦事項,台中市,不限,限(3~6),"親職教育, 早期療育, 兒童托育, 日間照顧, 特殊教育, 學校社工"
社團法人中華民國豪野人戶外探索暨康輔教育推廣協會,7409,林世浤,蔡小姐,04-24519647,04-24510429,http://www.hoya.org.tw,admin@hoya.org.tw,407台中市西屯區台灣大道三段556巷1弄16號2樓,林世浤,2017/08/12,內政部,兒童青少年福利,本會為依法設立、非以營利為目的之社會團體，本會在「寓教於樂」之原則下，以培養訓練具有各類團康活動企劃、戶外領導能力之優秀康輔志工人員，進而提倡正當休閒活動、推廣志願服務為創會宗旨。,依本會宗旨，配合政府相關政策、各界單位之委託與會員之需要，規劃辦理各項學習性、公益性、康輔教育、教育性暨自我成長之志工服務與活動，其項目包括,全國性,不限,不限(0~0),"休閒娛樂, 營隊活動, 志願服務, 社區服務, 專業訓練"
社團法人榮欣社會福利服務促進協會,7408,巫琇羽,張登翔,03-3390085,03-3390285,無,rex0106@gmail.com,320桃園市中壢區明德路60號7樓,許品生,2018/03/10,內政部,綜合性服務,本會為依法設立、非以營利為目的之社會團體。本協會創立之宗旨係以「陪伴家庭共榮、凝聚眾人同欣」作為服務使命，重視人與家庭、社會間的互動關係，發展以家庭為核心，以社區為基礎的社會福利服務，並持續關注高齡社會與少子化、長期照顧及弱勢族群處境等社會問題，透過發展創新服務模式，進行專業人才培育與推廣並深耕在地服務，使社會能朝向互利共生的和平榮景邁進。,保護性相關業務(親密關係被害人、老人保護)、身心障礙相關服務(日間作業設施、日間照顧、家庭托顧),全國性,不限,不限(0~0),"個案輔導,個案管理,日間照顧,婚姻協談,家庭輔導"
財團法人雲林縣私立長愛家園育幼院,7407,吳文輝,鍾定諭,05-5915710,05-5918159,無,448longlove@gmail.com,631雲林縣大埤鄉大埤路448號,吳文輝,2018/12/05,雲林縣政府,兒童青少年福利,廣大的社會中，家肩具了多重角色與責任，更是個人社會化的早期單位，但時代快速的變遷中，家庭已不再是溫暖又可愛的代名詞，籌辦成立長愛家園，讓創傷的弱勢孩子擁有一個家，是我們最大的動機與宗旨，人因有愛而圓滿，處處有愛，溫暖滿人間伸出一雙溫暖接納雙手，給孩子一個不需要擔心、害怕的另一個家。用專業的代領下，以誠信、同理的謙卑態度，用團隊合作及多元溝通的創新思維、永懷感恩、富足之心，為社會角落不計其數的弱勢族群開創一個有愛、安穩的大家庭；為曾經照顧的孩子們建立一個落葉歸根的地方；繼續為不知所措的生命，尋找出口；為支離破碎的心靈，重拾信心。,＊家園特色,雲林縣,不限,不限(0~18),"心理輔導, 個案輔導, 個案管理, 心理治療, 遊戲治療, 早期療育, 兒童托育, 日間照顧, 課後照顧, 兒童保護, 緊急庇護"
